_date_,x1
1993-01-01,47.1
1994-01-01,46.9
1995-01-01,45.5
1996-01-01,43.9
1997-01-01,43.1
1998-01-01,42.3
1999-01-01,42.1
2000-01-01,40.1
2001-01-01,38.4
2002-01-01,39.4
2003-01-01,39.6
2004-01-01,38.3
2005-01-01,39.5
2006-01-01,38.4
2007-01-01,39.3
2008-01-01,38.6
2009-01-01,38.7
2010-01-01,37.2
2011-01-01,38.3
2012-01-01,38.2
2013-01-01,37.9
2014-01-01,38.3
2015-01-01,37.1
2016-01-01,NA
2017-01-01,NA
2018-01-01,NA
2019-01-01,NA
2020-01-01,NA
